source;fr;fr_dbta;en;en_dbta;pt;pt_dbta;es;es_dbta
menu.address_diaspora;Adresse de Diaspora;Adresse de Diaspora;Diaspora address;Diaspora address;Endereço Diaspora;Endereço Diaspora;Dirección en la diáspora;Dirección en la diáspora
menu.phone;Téléphone;Téléphone;Phone;Phone;Telefone;Telefone;Teléfono;Teléfono
menu.phone_abr;Tél;Tél;Mobile phone number;Mobile phone number;Telefone;Telefone;Número de teléfono móvil;Número de teléfono móvil
menu.pseudo;Pseudo;Pseudo;Pseudo;Pseudo;Apelido;Apelido;Pseudo;Pseudo
menu.email;Email;Email;Email;Email;Email;Email;Correo electrónico;Correo electrónico
menu.address_number;Numéro adresse;Numéro adresse;Address number;Address number;Número do endereço;Número do endereço;Número de dirección;Número de dirección
menu.address_road;Rue adresse;Rue adresse;Street address;Street address;Endereço postal;Endereço postal;Dirección postal;Dirección postal
menu.created_date;Date de création;Date de création;Creation date;Creation date;Data de criação;Data de criação;Fecha de creación;Fecha de creación
menu.created_date_with_tag;Date%tag_br%Création;Date%tag_br%Création;Date%tag_br%Creation;Date%tag_br%Creation;Data%tag_br%Criação;Data%tag_br%Criação;Fecha%tag_br%Creación;Fecha%tag_br%Creación
menu.updated_date_with_tag;Date%tag_br%Modification;Date%tag_br%Modification;Date%tag_br%Modified;Date%tag_br%Modified;Data%tag_br%Modificada;Data%tag_br%Modificada;Fecha%tag_br%Modificado;Fecha%tag_br%Modificado
menu.updated_date;Date de modification;Date de modification;Date modified;Date modified;Data da modificação;Data da modificação;Fecha de modificación;Fecha de modificación
menu.modified_on;Modifié le;Modifié le;Modified on;Modified on;Modificado em;Modificado em;Modificado el;Modificado el
menu.expires_on;Expire le;Expire le;Expires;Expires;Expirações;Expirações;Caduca;Caduca
menu.address_locality;Lieu;Lieu;Location;Location;Localização;Localização;Ubicación;Ubicación
menu.street;Rue;Rue;Street;Street;Rua;Rua;Calle;Calle
menu.location;Localité;Localité;Locality;Locality;Localidade;Localidade;Localidad;Localidad
menu.latitude;Latitude;Latitude;Latitude;Latitude;Latitude;Latitude;Latitud;Latitud
menu.longitude;Longitude;Longitude;Longitude;Longitude;Longitude;Longitude;Longitud;Longitud
menu.mode;Mode;Mode;Mode;Mode;Modo;Modo;Modo;Modo
menu.title;Titre;Titre;Title;Title;Título;Título;Título;Título
menu.profession;Profession;Profession;Occupation;Occupation;Ocupação;Ocupação;Ocupación;Ocupación
menu.complete;renseigner;renseigner;Complete;Complete;Completar;Completar;Completar;Completar
menu.see;Voir;Voir;View;View;Ver;Ver;Ver;Ver
menu.characters;caractères;caractères;characters;characters;caracteres;caracteres;personajes;personajes
menu.characteristics;Caractéristiques;Caractéristiques;Features;Features;Características;Características;Características;Características
menu.archive;Archiver;Archiver;Archive;Archive;Arquivo;Arquivo;Archivo;Archivo
menu.back_to_the_list;Retour à la liste;Retour à la liste;Back to list;Back to list;Voltar à lista;Voltar à lista;Volver a la lista;Volver a la lista
menu.complete_your_profile;Completer votre profil;Completer votre profil;Complete your profile;Complete your profile;Preencher o seu perfil;Preencher o seu perfil;Completa tu perfil;Completa tu perfil
menu.detail;Details;Details;Details;Details;Detalhes;Detalhes;Detalles;Detalles
menu.delete;Supprimer;Supprimer;Delete;Delete;Eliminar;Eliminar;Borrar;Borrar
menu.delete_selected;Supprimer selection;Supprimer selection;Remove selection;Remove selection;Remover selecção;Remover selecção;Eliminar selección;Eliminar selección
menu.edit;Modifier;Modifier;Edit;Edit;Editar;Editar;Editar;Editar
menu.validate;Valider;Valider;Validate;Validate;Validar;Validar;Validar;Validar
menu.valid;Valide;Valide;Valid;Valid;Valido;Valido;Válido;Válido
menu.province;Province;Province;Province;Province;Província;Província;Provincia;Provincia
menu.all_regions;Toutes régions;Tout pays;All regions;All countries;Todas as regiões;Todos os países;Todas las regiones;Todos los países
menu.connection_phone;Tél. de connexion;Tél. de connexion;Tel. login;Tel. login;Tel. Acesso;Tel. Acesso;Tel. de acceso;Tel. de acceso
menu.other_phone;Autre Tél;Autre Tél;Other Phone;Other Phone;Outro telefone;Outro telefone;Otro teléfono;Otro teléfono
menu.other;Autre;Autre;Other;Other;Outro;Outro;Otro;Otro
menu.number;Numéro;Numéro;Number;Number;Número;Número;Número;Número
menu.reasons_for_satisfaction_with_jobs_held;Raisons satisfactions d'emplois occupés;Raisons satisfactions d'emplois occupés;Reasons for job satisfaction;Reasons for job satisfaction;Razões para a satisfação profissional;Razões para a satisfação profissional;Motivos de satisfacción laboral;Motivos de satisfacción laboral
menu.modification_of_a_found_employment_reason;Modification d'une raison d'emploi trouvé;Modification d'une raison d'emploi trouvé;Editing a job found reason;Editing a job found reason;Editar um motivo de procura de emprego;Editar um motivo de procura de emprego;Editar un empleo encontrado motivo;Editar un empleo encontrado motivo
menu.reasons_for_finding_a_job;Raisons emplois trouvés;Raisons emplois trouvés;Reasons jobs found;Reasons jobs found;Razões pelas quais foram encontrados empregos;Razões pelas quais foram encontrados empregos;Motivos empleo encontrado;Motivos empleo encontrado
menu.add_a_reason_for_found_employment;Ajout d'une raison d'emploi trouvé;Ajout d'une raison d'emploi trouvé;Add job found reason;Add job found reason;Adicionar motivo de procura de emprego;Adicionar motivo de procura de emprego;Añadir motivo de empleo encontrado;Añadir motivo de empleo encontrado
menu.other_reason;Autre raison;Autre raison;Other reason;Other reason;Outro motivo;Outro motivo;Otro motivo;Otro motivo
menu.other_type;Autre type;Autre type;Other type;Other type;Outro tipo;Outro tipo;Otro tipo;Otro tipo
menu.actor;Acteur;Acteur;Actor;Actor;Actor;Actor;Actor;Actor
menu.offer;Offre d'emploi;Offre d'emploi;Job offer;Job offer;Oferta de emprego;Oferta de emprego;Oferta de empleo;Oferta de empleo
menu.select;Sélectionnez;Sélectionnez;Select;Select;Selecionar;Selecionar;Seleccione;Seleccione
menu.select_currency;Sélectionnez la  devise;Sélectionnez la  devise;Select the currency;Select the currency;Selecione a moeda;Selecione a moeda;Seleccione la moneda;Seleccione la moneda
menu.select_activity;Selectionnez le métier/filière;Selectionnez le métier/filière;Select the sectors / professions;Select the sectors / professions;Selecione os setores/profissões;Selecione os setores/profissões;Seleccione los sectores / profesiones;Seleccione los sectores / profesiones
menu.select_sector;Selectionnez le secteur d\'activité;Selectionnez le secteur d\'activité;Select the business sector;Select the business sector;Selecione o setor de negócios;Selecione o setor de negócios;Seleccione el sector de actividad;Seleccione el sector de actividad
menu.select_country;Selectionnez le pays;Selectionnez la province;Select the country;Select the province;Selecione o país;Selecione o provincia;Seleccione el país;Seleccione el provincia
menu.select_region;Selectionnez la région;Selectionnez le pays;Select the region;Select the country;Selecione a região;Selecione a país;Seleccione la región;Seleccione el país
menu.select_city;Selectionnez la ville;Selectionnez la ville;Select the city;Select the city;Selecione a cidade;Selecione a cidade;Seleccione la ciudad;Seleccione la ciudad
menu.manual;manuel;manuel;manual;manual;manual;manual;manual;manual
menu.a_man;un homme;un homme;male;male;um homem;um homem;un hombre;un hombre
menu.a_woman;une femme;une femme;female;female;uma mulher;uma mulher;una mujer;una mujer
menu.web_site;Site Internet;Site Internet;Web site;Web site;Site da Web;Site da Web;Sitio web;Sitio web
menu.between_1_and_4_hours;entre 1 et 4 heures;entre 1 et 4 heures;between 1 and 4 hours;between 1 and 4 hours;entre 1 e 4 horas;entre 1 e 4 horas;entre 1 y 4 horas;entre 1 y 4 horas
menu.between_5_and_8_hours;entre 5 et 8 heures;entre 5 et 8 heures;between 5 and 8 hours;between 5 and 8 hours;entre 5 e 8 horas;entre 5 e 8 horas;entre 5 y 8 horas;entre 5 y 8 horas
menu.from_1_to_5;de 1 à 5;de 1 à 5;from 1 to 5;from 1 to 5;de 1 a 5;de 1 a 5;de 1 a 5;de 1 a 5
menu.from_11_to_20;de 11 à 20;de 11 à 20;from 11 to 20;from 11 to 20;de 11 a 20;de 11 a 20;de 11 a 20;de 11 a 20
menu.from_21_to_50;de 21 à 50;de 21 à 50;from 21 to 50;from 21 to 50;de 21 a 50;de 21 a 50;de 21 a 50;de 21 a 50
menu.from_6_to_10;de 6 à 10;de 6 à 10;from 6 to 10;from 6 to 10;de 6 a 10;de 6 a 10;de 6 a 10;de 6 a 10
menu.greater_than_10;> 10;> 10;> 10;> 10;> 10;> 10;> 10;> 10
menu.greater_than_50;> 50;> 50;> 50;> 50;> 50;> 50;> 50;> 50
menu.hiring_date;Date d'embauche;Date d'embauche;Hiring date;Hiring date;Data da contratação;Data da contratação;Fecha de contratación;Fecha de contratación
menu.more_than_8_hours;plus de 8 heures;plus de 8 heures;more than 8 hours;more than 8 hours;mais de 8 horas;mais de 8 horas;más de 8 horas;más de 8 horas
menu.no_answer;Pas de réponse;Pas de réponse;No answer;No answer;Sem resposta;Sem resposta;Sin respuesta;Sin respuesta
menu.standard_number;Numéro du standard;Numéro du standard;Standard number;Standard number;Número padrão;Número padrão;Número estándar;Número estándar
menu.number_must_begin_by;Le numéro doit commencer par;Le numéro doit commencer par;The number must begin by;The number must begin by;O número deve começar com;O número deve começar com;El número debe empezar por;El número debe empezar por
menu.suggestion_for_the_number;Suggestion pour le numéro;Suggestion pour le numéro;Suggestion for the number;Suggestion for the number;Sugestão para o número;Sugestão para o número;Sugerencia para el número;Sugerencia para el número
menu.the_number_without_the_country_code_must_have;Le numéro sans l'indicatif pays doit avoir;Le numéro sans l'indicatif pays doit avoir;The number without the country code must have;The number without the country code must have;O número sem o código do país deve ter;O número sem o código do país deve ter;El número sin el prefijo del país debe tener;El número sin el prefijo del país debe tener
menu.wrong_phone_number_syntax;Mauvaise syntaxe du numéro de téléphone;Mauvaise syntaxe du numéro de téléphone;Wrong phone number syntax;Wrong phone number syntax;Sintaxe de número telefônico incorreta;Sintaxe de número telefônico incorreta;Sintaxis incorrecta del número de teléfono;Sintaxis incorrecta del número de teléfono
;;;;;;;;
notification.enrollment_email_send_successful;Les notifications sont envoyés avec succès;Les notifications sont envoyés avec succès;Notifications sent successfully;Notifications sent successfully;Notificações enviadas com sucesso;Notificações enviadas com sucesso;Notificaciones enviadas correctamente;Notificaciones enviadas correctamente
role.editing_a_role;Modification d'un rôle;Modification d'un rôle;Editing a role;Editing a role;Editar uma função;Editar uma função;Edición de una función;Edición de una función
role.list_of_roles;Liste des rôles;Liste des rôles;List of roles;List of roles;Lista de funções;Lista de funções;Lista de funciones;Lista de funciones
role.new_role;Nouveau rôle;Nouveau rôle;New role;New role;Nova função;Nova função;Nueva función;Nueva función
region.editing_a_region;Modification d'une region;Modification d'une region;Editing a region;Editing a region;Editar uma região;Editar uma região;Editar una región;Editar una región
region.add_a_region;Ajouter une region;Ajouter un pays;Add region;Add country;Adicionar região;Adicionar país;Añadir región;Añadir país
region.adding_a_region;Ajout d'une region;Ajout d'un pays;Adding a region;Adding a country;Adicionar uma região;Adicionar uma país;Añadir una región;Añadir una país
region.list_of_regions;Liste des régions;Liste des pays;List of regions;List of countries;Lista das regiões;Lista das país;Lista de regiones;Lista de país
legal_status.editing_a_legal_status;Modification d'un statut juridique;Modification d'un statut juridique;Modification of a legal status;Modification of a legal status;Alteração de um estatuto jurídico;Alteração de um estatuto jurídico;Modificación de un estatuto jurídico;Modificación de un estatuto jurídico
legal_status.list_of_legal_statuses;Liste des statuts juridiques;Liste des statuts juridiques;List of legal statuses;List of legal statuses;Lista dos estatutos jurídicos;Lista dos estatutos jurídicos;Lista de estatutos jurídicos;Lista de estatutos jurídicos
legal_status.add_a_legal_status;Ajouter un statut juridique;Ajouter un statut juridique;Add legal status;Add legal status;Adicionar estatuto jurídico;Adicionar estatuto jurídico;Añadir un estatuto jurídico;Añadir un estatuto jurídico
legal_status.adding_a_legal_status;Ajout d'un statut juridique;Ajout d'un statut juridique;Adding a legal status;Adding a legal status;Adicionar um estatuto jurídico;Adicionar um estatuto jurídico;Añadir un estatuto jurídico;Añadir un estatuto jurídico
degree.editing_a_degree;Modification d'un diplômé;Modification d'un diplômé;Editing a graduate;Editing a graduate;Editar um graduado;Editar um graduado;Modificación de un graduado;Modificación de un graduado
degree.list_of_degree;Liste des diplômés;Liste des diplômés;List of graduates;List of graduates;Lista dos graduados;Lista dos graduados;Lista de graduados;Lista de graduados
degree.add_a_degree;Ajouter un diplôme;Ajouter un diplôme;Add a diploma;Add a diploma;Adicionar um diploma;Adicionar um diploma;Añadir un diploma;Añadir un diploma
degree.adding_a_degree;Ajout un diplôme;Ajout un diplôme;Add a diploma;Add a diploma;Adicionar um diploma;Adicionar um diploma;Añadir un diploma;Añadir un diploma
degree.filter_by_city;Filtre par ville;Filtre par ville;Filter by city;Filter by city;Filtrar por cidade;Filtrar por cidade;Filtrar por ciudad;Filtrar por ciudad
degree.filter_by_region;Filtre par région;Filtre par région;Filter by region;Filter by region;Filtrar por região;Filtrar por região;Filtrar por región;Filtrar por región
degree.year_session_degree;Année Session diplôme;Année Session diplôme;Graduation year;Graduation year;Ano de graduação;Ano de graduação;Año de graduación;Año de graduación
degree.month_graduation;Mois Obtention diplôme;Mois Obtention diplôme;Month of graduation;Month of graduation;Mês de graduação;Mês de graduação;Mes de graduación;Mes de graduación
